price,bed,bath,description,address,address_g,meters_car,meters_transit,seconds_car,seconds_transit,laundry,type,availability,size,nonsmoking,parking,link,latitude,longitude
$1010,2,1,Catch Those Savings!,107th St at Good Hope Rd Milwaukee WI US,"10165-10549 W Fountain Ave, Milwaukee, WI 53224, USA",1680,1680,138,1240,,,available sep 23,0,False,,/apa/5236049773.html,43.157015,-88.040292
$895,2,1,"2 Br, Lake Dr. Eastside HEAT/AC Incl! 1/2 OFF 1st Month - Now/Oct 1st",North Ave at Summit Ave Milwaukee WI US,"2288 N Summit Ave, Milwaukee, WI 53202, USA",25345,23597,1704,5351,,,available oct 01,1100ft2,False,,/apa/5221359889.html,43.059952,-87.881913
$950,2,2,"Two bedroom, two bath with garage-no deposit",,"N58W24011 Clover Dr, Sussex, WI 53089, USA",,,,,,,available sep 01,0,False,,/apa/5213638064.html,43.124765,-88.224469
$675,2,1,Two bedrooms with garage-No Deposit,River West Bend WI US,"929 N River Rd, West Bend, WI 53090, USA",42335,84897,1665,8536,,,available sep 19,0,False,,/apa/5228264829.html,43.433951,-88.161358
$675,2,1,Two Bedroom with Garage-No Deposit,River West Bend WI US,"929 N River Rd, West Bend, WI 53090, USA",42335,84897,1665,8536,,,available oct 01,0,False,,/apa/5225212235.html,43.433951,-88.161358
$550,2,1,2 Bedroom Apt.,,"1201-1211 N 31st St, Milwaukee, WI 53208, USA",16728,20322,1373,4909,,,available apr 07,600ft2,False,,/apa/5236009904.html,43.045913,-87.952486
$650,2,1,2 Bedroom Apartment,,,,,,,,,available sep 23,0,False,,/apa/5235993886.html,0,0
$600,2,1,"6230 S. Packard Ave-Nice 2 BR, 2nd Floor Apt-Cudahy",6230 S Packard Avenue Cudahy WI US,"6242 S Packard Ave, Cudahy, WI 53110, USA",41756,36907,1970,7646,,,available sep 15,900ft2,False,,/apa/5199749465.html,42.931059,-87.860754
$815,2,2,The Brittany Parkside-1 & 2 Bedroom Apartments,2565 S Calhoun Rd New Berlin WI US,"2550-2598 S Calhoun Rd, New Berlin, WI 53151, USA",27252,40061,1363,7632,,,available aug 01,0,False,,/apa/5199765968.html,42.997615,-88.127846
$705,3,1,4011 W Morgan 3BD/1BA Available November,,"2322 W Halsey Ave, Milwaukee, WI 53221, USA",32604,30303,1519,6232,,,available nov 15,900ft2,False,,/apa/5206342401.html,42.9549,-87.9447
$660,2,1,Nice 2 BR 2nd Floor Apartment,,"3946 S Howell Ave, Milwaukee, WI 53207, USA",,,,,,,available oct 15,800ft2,False,,/apa/5210458774.html,42.972706,-87.909186
$765,2,1,"Tosa - 2nd Fl, 2 BR Clean Apartment",6433 W North Avenue Wauwatosa WI US,"6410 W North Ave, Wauwatosa, WI 53213, USA",,,,,,,available sep 05,0,False,,/apa/5199753024.html,43.060812,-87.992511
$945,2,2.5,"2 BR, 2.5 Bath Townhouse @ Sunset Ridge Apts",4305 W Howard Avenue Milwaukee WI US,"4301 W Howard Ave, Greenfield, WI 53220, USA",,,,,,,available oct 15,1000ft2,False,,/apa/5227992795.html,42.97382,-87.96845
$725,2,1,"River Heights-2 Bedroom, 1 Baths, 2nd Fl Apt. in West Allis",11229 W National Avenue West Allis WI US,"11135 W National Ave, West Allis, WI 53227, USA",21581,25847,1081,6193,,,available oct 15,600ft2,False,,/apa/5198886626.html,42.990664,-88.05145
$995,2,1,English Woods 2BD/1BA Upper w/ Huge Den Available Nov 1,6418 W Layton Greenfield WI US,"6420 W English Meadows Dr, Greenfield, WI 53220, USA",27530,29887,1315,7295,,,available nov 01,0,False,,/apa/5190084822.html,42.959658,-87.994094
